Brand,Model,Type,Price,CPU Brand,CPU Model,CPU Cores,CPU Speed (GHZ),Storage(GB),Memory,GPU Brand,GPU Model,USB ports (Int),Operating System,Display(inches),Weight(lbs)(Double),Link,Quality Rating,Speed Rating,Memory Rating,Display Rating
Lenovo ,Chromebook Flex 5,Work,409.99,Intel,i3-1115G4,2,1.3,128,128,Intel,UHD,2,Chrome,13.3,2.9,https://target.georiot.com/Proxy.ashx?tsid=45727&GR_URL=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB08RMPD837%3Ftag%3Dhawk-future-ca-20%26linkCode%3Dogi%26th%3D1%26psc%3D1%26ascsubtag%3Dlaptopmag-ca-1018852696535309300-20,7,3,6,3
Lenovo ,Duet,Work,229.97,MediaTek ,Helio P60T,8,2,128,128,ARM,G72MP3,3,Chrome,10.1,2,https://target.georiot.com/Proxy.ashx?tsid=45727&GR_URL=https%3A%2F%2Fwww.amazon.ca%2Fs%2Fref%3Dnb_sb_noss%3Ffield-keywords%3DLenovo+Chromebook+S340%26tag%3Dhawk-future-ca-20%26ascsubtag%3Dlaptopmag-ca-8211216427750038000-20,8,3,6,3
Lenovo ,Duet5,Work,379.99,Snapdragon ,7c 8183,6,1.68,128,128,Adreno,618,3,Chrome,13.3,2.2,https://bestbuyca.o93x.net/c/221109/1027879/10221?prodsku=15953205&u=https%3A%2F%2Fwww.bestbuy.ca%2Fen-ca%2Fproduct%2Fopen-box-lenovo-ideapad-duet-5-13-3-touchscreen-2-in-1-chromebook-sc7180-128gb-ssd-4gb-ram-chrome-os%2F15953205%3Fcmp%3Daff_techradar_0&intsrc=CATF_7984&subId1=laptopmag-ca-6057673426991103000&sharedId=laptopmag-ca,8,4,6,3
Asus ,Chromebook Detachable CM3 ,Work,295,MediaTek,MTK i3-1115G4,8,2,128,128,Arm,Mali-G72 MP3,2,Chrome,10.5,1.1,https://target.georiot.com/Proxy.ashx?tsid=45727&GR_URL=https%3A%2F%2Fwww.amazon.com%2Fdp%2FB0BZ7RDFW1%3Ftag%3Dhawk-future-20%26linkCode%3Dogi%26th%3D1%26psc%3D1%26ascsubtag%3Dlaptopmag-ca-1020321879281573000-20,7,4,6,3
Acer,Aspire 3,Work,490,AMD,‎Ryzen 3 3200U,4,3,128,128,Intel ,UHD,4,Chrome,17.3,5.5,https://events.release.narrativ.com/api/v0/client_redirect/?url=https%3A%2F%2Fbestbuy.7tiv.net%2Fc%2F376373%2F633495%2F10014%3Fprodsku%3D6502944%26u%3Dhttp%253A%252F%252Fwww.bestbuy.com%252Fsite%252F-%252F6502944.p%253Fcmp%253DRMX%2526nrtv_cid%253D.nrtv_plchldr.%2526utm_source%253Dnarrativ%2526ar%253D1807106067227086479%26nrtv_cid%3D.nrtv_plchldr.%26subId2%3Dforbes%26subId3%3D1807106067227086479%26subId1%3Dgeneral%26nrtv_as_src%3D1&a=1787088067895295482&uuid=8206e80d-1080-4b11-a328-d0bc35c76d1d&uid_bam=1807054061325362231&ar=1807106067227086479,7,4,6,6
"HP 
","HP 14 
",Work,443,Intel,i5 10th generation,6,2.1,128,128,AMD ,Vega,3,Windows,14,3.2,https://www.amazon.com/dp/B09G8SK2KK/ref=as_li_ss_tl?tag=202266-5b77pm10xo-20&linkCode=ll1,6,3,6,5
Lenovo ,Ideal Pad,Work,350,Intel,i3-1115G4,4,3,128,128,Intel,Xe,2,Windows,15.6,4.1,https://events.release.narrativ.com/api/v0/client_redirect/?url=https%3A%2F%2Fbestbuy.7tiv.net%2Fc%2F376373%2F633495%2F10014%3Fprodsku%3D6497829%26u%3Dhttp%253A%252F%252Fwww.bestbuy.com%252Fsite%252F-%252F6497829.p%253Fcmp%253DRMX%2526nrtv_cid%253D.nrtv_plchldr.%2526utm_source%253Dnarrativ%2526ar%253D1807106067831462644%26nrtv_cid%3D.nrtv_plchldr.%26subId2%3Dforbes%26subId3%3D1807106067831462644%26subId1%3Dgeneral%26nrtv_as_src%3D1&a=1783931780233459332&uuid=8206e80d-1080-4b11-a328-d0bc35c76d1d&uid_bam=1807054061325362231&ar=1807106067831462644,8,4,6,5
Lenvo,Ideal Pad,Work,225,Intel,Celeron g-5900,4,1.1,128,128,Intel,UHD,3,Windows,14,3.1,https://www.forbes.com/sites/forbes-personal-shopper/article/best-laptops-under-500/?sh=1b69bd6933d4,8,2,6,5
Acer,Chromebook 317,Work,499.99,Intel ,pentium silver n6000,2,1.1,128,128,Intel,UHD Graphics ,3,Chrome,17.3,5.3,https://www.bestbuy.ca/en-ca/product/acer-cb317-17-3-chromebook-silver-intel-celeron-n4500-128gb-emmc-8gb-ram-chrome-os/16250531?cmp=aff_techradar_0&irclickid=2oJVwvXsOxyNW0Zzwu3s9UxGUkAViEVprVwMSM0&ref=affiliate&utm_content=221109&utm_source=IR&acmp=Future%20PLC.&utm_term=1027879&irgwc=1,7,2,6,8
ASUS,Chromebook Flip C536,Work,569.99,Intel,i3-1115G4,2,3,128,8,Intel ,UHD Graphics,2,Chrome,15.6,3.75,https://www.bestbuy.ca/en-ca/product/acer-15-6-laptop-silver-intel-pentium-silver-n6000-256gb-ssd-8gb-ram-windows-11/15743187,8,5,7,7
HP,HP Laptop - Jet Black,Work,699.99,Intel,i3-1115G4 ,8,4.1,512,8,Intel ,UHD Graphics ,3,Windows,15.6,3.92,https://www.amazon.ca/15T-dw300-CTO-15-6-Laptop-i5-1135G7/dp/B0B3F7D4TH,6,5,8,7
Acer,Acer Aspire 5 Laptop - Silver ,Work,849.99,Intel,i5-1135G7 ,8,2.4,512,16,‎Intel  ,UHD Graphics,3,Windows,15.6,3.75,https://www.bestbuy.ca/en-ca/product/acer-aspire-5-15-6-laptop-silver-intel-core-i5-1135g7-512gb-ssd-8gb-ram-windows-11/15795309,6,6,8,7
HP,HP Laptop - Natural Silver ,Work,579.99,AMD,Athlon Silver 3050U,8,2.3,256,8,AMD ,Radeon Graphics,3,Windows,14,3.22,https://www.google.com/url?q=https://www.bestbuy.ca/en-ca/product/hp-14-laptop-natural-silver-amd-athlon-silver-3050u-256gb-ssd-8gb-ram-windows-10/15371258&sa=D&source=editors&ust=1683732312912973&usg=AOvVaw0DxP-EZf8yp06la0O7LD7F,8,5,7,5
HP,HP Laptop - Shadow Black,Work,529.99,Intel,Celeron N4500,8,1.1,256,16,Intel ,UHD Graphics,2,Windows,15.6,3.64,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-shadow-black-intel-celeron-n4500-256gb-ssd-8gb-ram-windows-10/15442026?source=product,7,5,7,6
Lenovo,Lenovo ThinkPad Yoga 460 2-IN-1 Ultrabook,Work,565.99,Intel,5-6300U ,8,2.4,512,8,Intel ,UHD 620,1,Windows,14,6.61,https://www.bestbuy.ca/en-ca/product/lenovo-thinkpad-yoga-460-2-in-1-ultrabook-14-fhd-1920-x-1080-touchscreen-display-intel-i5-6300u-2-40ghz-8-gb-ram-512gb-ssd-backlit-keyboard-refurbished/16206988?icmp=Recos_4across_cstmrs_ls_vwd&referrer=PDP_Reco,7,5,8,6
HP,HP Laptop - Natural Silver,Work,699.99,Intel,i5-1135G7 ,8,4.2,512,8,Intel ,Iris Xe Graphics,3,Windows,15.6,4.85,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-natural-silver-intel-core-i5-1235u-1tb-ssd-16gb-ram-windows-11/16021495,8,6,8,7
HP,HP 15-ef3017ca Laptop,Work,749.99,AMD,Ryzen 5 5625U ,16,4.3,1000,8,AMD ,Radeon Graphics,3,Windows,15.6,4.87,https://www.staples.ca/products/3029124-en-hp-15-ef3017ca-156-laptop-amd-ryzen-5-5625u-16gb-ram-1tb-ssd-windows-11-home,6,5,10,6
ASUS,Asus Laptop,Work,999.99,Intel,i5-1240P ,16,1.7,512,16,Intel ,Iris Xe Graphics,4,Windows,15.6,3.7,https://www.staples.ca/products/3034810-en-asus-156-laptop-intel-core-i5-1240p-512gb-ssd-16gb-ram-windows-11-home,7,7,8,7
Acer,Acer Laptop,Work,599.97,Intel,i5-10210U ,8,1.6,256,18,Intel ,UHD Graphics,4,Windows,15.6,3.31,Link,7,7,7,7
Acer,Nitro 5,Gaming,1099.95,Intel Core,i5,6,7.2,1000,16,NVIDIA,GeForce RTX,4,Windows,15.6,4.85,https://www.bestbuy.ca/en-ca/product/acer-nitro-5-15-6-gaming-laptop-black-intel-core-i5-11400h-1tb-ssd-16gb-ram-rtx-3060-windows-11/16250534?icmp=Recos_3across_tp_sllng_prdcts&referrer=PLP_Reco ,8,7,6,9
Lenovo ,Yoga,Work,1199.99,Intel Core,i5,10,1.3,512,16,Nvidia,GeForce RTX,1,Windows,14,3.31,https://www.bestbuy.ca/en-ca/product/lenovo-yoga-7i-14-2-2k-touchscreen-2-in-1-laptop-grey-intel-core-i5-1235u-512gb-ssd-16gb-ram-windows-11/16204911?icmp=Recos_4across_y_mght_ls_lk ,8,8,6,7
Samsung,Book2,Work,1669.95,Intel Evo,i5,4,1.7,256,8,Intel,Iris Xe ,1,Windows,15.6,2.45,https://www.bestbuy.ca/en-ca/product/samsung-galaxy-book2-pro-15-6-laptop-graphite-intel-evo-i5-1240p-256gb-ssd-8gb-ram-windows-11-home/16006274?source=product&adSlot=7 ,8,8,4,7
LG,Gram,Work,1399.95,Intel Core,i5,12,1.7,512,8,Intel,Iris Xe,2,Windows,17,2.98,https://www.bestbuy.ca/en-ca/product/lg-gram-17-laptop-black-intel-core-i5-1240p-512gb-ssd-8gb-ram-windows-11/16162612?source=product&adSlot=10 ,8,8,4,9
Dell,Inspiron,Work,1399.99,Intel Evo,i7,12,2.1,1000,16,Intel,Iris Xe,4,Windows,16,4.43,https://www.bestbuy.ca/en-ca/product/dell-inspiron-16-touchscreen-2-in-1-laptop-silver-intel-evo-core-i7-1260p-1tb-ssd-16gb-ram-win-11/16022350?source=product&adSlot=10  ,7,7,6,8
ASUS,Zephyrus,Gaming,1499.99,AMD,Ryzen,8,3.2,512,16,AMD,Radeon RX,4,Windows,14,3.59,https://www.bestbuy.ca/en-ca/product/asus-zephyrus-g14-14-gaming-laptop-grey-ryzen-7-6800hs-512gb-ssd-16gb-ram-radeon-rx-6700s-win-11/16014643 ,7,8,7,7
Acer,Nitro 5,Gaming,1199.99,Intel Core,i5,6,2.7,512,8,NVIDIA,GeForce RTX,4,Windows,15.6,4.85,https://www.bestbuy.ca/en-ca/product/acer-nitro-5-15-6-gaming-laptop-black-intel-core-i5-11400h-512gb-ssd-8gb-ram-rtx-3050-windows-11/16036528 ,8,7,5,8
ASUS,Zenbook,Work,1499.99,Intel Core,i7,12,2.2,32,16,Intel,Iris Xe,2,Windows,14,3.31,https://www.bestbuy.ca/en-ca/product/asus-zenbook-oled-14-touchscreen-laptop-ponder-blue-intel-core-i7-1360p-1t-ssd-16gb-ram-window-11/16941727 ,6,7,4,6
Microsoft,Surface,Work,1689.99,Intel Evo,i7,10,1.7,256,8,Intel,Iris Xe,2,Windows,15,3.41,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-5-touchscreen-15-platinum-intel-evo-i7-1255u-256gb-ssd-8gb-ram-windows-11-en/16483494 ,8,8,6,7
Dell,G15,Gaming,1099.99,Intel Core,i7,8,2.2,512,16,NVIDIA,GeForce RTX,8,Windows,15.6,5.38,https://www.bestbuy.ca/en-ca/product/open-box-dell-g15-15-6-gaming-laptop-intel-core-i7-10870h-512gb-ssd-16gb-ram-geforce-rtx-3060-win-10/15688078?icmp=Recos_4across_y_mght_ls_lk ,8,9,6,8
Asus,ROG Strix,Gaming,2499.99,Intel Core,i9-13980HX,24,2.2,1000,32,NVIDIA,GeForce RTX,4,Windows ,16,5.51,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-g16-16-gaming-laptop-eclipse-grey-intel-core-i9-13980hx-1tb-ssd-32gb-ram-geforce-rtx-4060/16691438,7,9,9,9
MSI,Raider GE66,Gaming,2449.99,Intel Core,i9-12900H,6,1.8,1000,16,NVIDIA,GeForce RTX,2,Windows,15.6,5.25,https://www.bestbuy.ca/en-ca/product/msi-raider-ge66-15-6-gaming-laptop-blue-intel-core-i9-12900h-1tb-ssd-16gb-ram-rtx-3070-ti-win-11/16481287,8,8,7,7
Asus,Flow,Gaming,2499.99,Intel Core,i9-13900H,14,2.6,1000,16,NVIDIA,GeForce RTX,3,Windows,13.4,2.6,https://www.bestbuy.ca/en-ca/product/asus-rog-flow-z13-13-4-gaming-laptop-tablet-black-intel-core-i9-13900h-1tb-ssd-16gb-ram-geforce-rtx-4050/16692413,6,9,7,8
Asus,Zephyrus,Gaming,2499.99,Intel Core,i9-12900,14,2.5,1000,32,NVIDIA,GeForce RTX,4,Windows,16,4.21,https://www.bestbuy.ca/en-ca/product/asus-rog-zephyrus-m16-16-gaming-laptop-intel-core-i9-12900h-1tb-ssd-geforce-rtx-3070-ti-eng-open-box/16250982,8,8,9,9
MSI,Pulse,Gaming,2699.99,Intel Core,i7-13700H,6,3.7,1000,32,NVIDIA,GeForce RTX,4,Windows,17.3,6.17,https://www.bestbuy.ca/en-ca/product/msi-pulse-17-3-gaming-laptop-titanium-grey-intel-core-i7-13700h-1tb-ssd-32gb-ram-geforce-rtx-4070/16680672,7,9,9,9
Dell,Alienware,Gaming,2899.99,Intel Core,i7-12700H,14,1.7,1000,16,NVIDIA,GeForce RTX,4,Windows,15.6,5.93,https://www.bestbuy.ca/en-ca/product/dell-alienware-m15-r7-15-6-gaming-laptop-intel-core-i7-12700h-1tb-ssd-16gb-ram-geforce-rtx-3070-ti/16064879,8,8,8,8
Microsoft,Surface Laptop Studio,Work,2649.99,Intel Core,i7-11370H,4,3,512,16,NVIDIA,GeForce RTX,2,Windows,14.4,4,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-studio-14-4-platinum-intel-core-i7-11370h-512gb-ssd-16gb-ram-windows-11-en/15740340,8,9,7,8
Asus,VivoBook Pro,Work,2499.99,Intel Core,i9-13900H,14,2.6,1000,16,NVIDIA,GeForce RTX,4,Windows,16,4.19,https://www.bestbuy.ca/en-ca/product/asus-vivobook-pro-16-oled-laptop-quiet-blue-intel-core-i9-13900h-1tb-ssd-16gb-ram-geforce-rtx-4060/16943136,8,8,8,10
LG ,Gram,Work,2499.99,Intel Evo,i7-1360P,12,3.7,1000,32,Intel,Iris Xe,4,Windows,16,4.85,https://www.bestbuy.ca/en-ca/product/lg-gram-16-laptop-black-intel-evo-i7-1360p-1tb-ssd-32gb-ram-windows-11-home/16702704,8,9,9,9
Acer,Predator Helios,Gaming,2899.99,Intel Core,i9-12900H,14,2.4,1000,16,NVIDIA,GeForce,6,Windows,15.6,5.73,https://www.bestbuy.ca/en-ca/product/acer-predator-helios-300-15-6-gaming-laptop-intel-core-i9-12900h-1tb-ssd-16gb-ram-rtx-3070-ti-win-11/16529676,7,8,8,10
